City ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,Cabatuan,10.8794,122.486,29.98,65,100,4.22,PH,1647652885
121,Longyearbyen,78.2186,15.6401,-1.09,74,40,2.57,SJ,1647652886
122,Qaanaaq,77.484,-69.3632,-22.97,92,100,2.61,GL,1647652887
123,Ransang,8.9603,117.5828,28.75,71,100,1.36,PH,1647652888
124,Fomboni,-12.28,43.7425,27.98,76,100,2.37,KM,1647652889
125,Thompson,55.7435,-97.8558,3.09,65,40,1.03,CA,1647652590
126,Dunedin,-45.8742,170.5036,14.33,73,56,4.02,NZ,1647652821
127,Miahuatlán,18.5667,-97.4333,19.79,55,87,3.95,MX,1647652892
128,Korla,41.7597,86.1469,8.97,50,100,4.3,CN,1647652892
129,Warkworth,-36.4,174.6667,22.73,63,100,3.71,NZ,1647652893
130,Lavrentiya,65.5833,-171.0,-17.84,77,0,3.22,RU,1647652894
131,Bengkulu,-3.8004,102.2655,22.73,87,100,2.96,ID,1647652569
132,Dikson,73.5069,80.5464,-8.82,88,11,8.61,RU,1647652896
133,Borskoye,53.0333,51.7167,-18.67,100,100,1.18,RU,1647652897
134,Lüderitz,-26.6481,15.1594,21.45,62,7,2.71,NA,1647652898
135,Rio Grande,-32.035,-52.0986,18.3,90,100,8.51,BR,1647652898
136,Lata,40.1629,-8.3327,9.95,75,2,2.54,PT,1647652899
137,Vilyuysk,63.7553,121.6247,-15.93,93,46,2.77,RU,1647652900
138,Villa Bruzual,9.3328,-69.1208,27.94,55,100,3.47,VE,1647652901
139,Rāwah,34.4816,41.9093,11.19,45,100,1.43,IQ,1647652901
140,Bathsheba,13.2167,-59.5167,26.34,73,20,10.8,BB,1647652902
141,Lebu,-37.6167,-73.65,13.22,75,100,7.63,CL,1647652903
142,Walvis Bay,-22.9575,14.5053,16.72,82,0,1.54,NA,1647652904
143,Salmon Arm,50.6998,-119.3024,9.13,89,100,0.51,CA,1647652905
144,Tiznit Province,29.5833,-9.5,14.54,74,0,0.44,MA,1647652906
145,Jaisalmer,26.9147,70.9181,23.23,41,0,6.61,IN,1647652907
146,Upernavik,72.7868,-56.1549,-28.8,78,97,3.15,GL,1647652908
147,Kwang Binh,17.4833,106.6,24.42,84,88,2.07,VN,1647652642
148,Katobu,-4.9408,122.5276,27.9,79,100,1.51,ID,1647652909
149,Ilulissat,69.2167,-51.1,-13.99,72,75,6.69,GL,1647652910
150,Esperance,-33.8667,121.9,21.95,79,100,7.37,AU,1647652911
151,Saint-Philippe,-21.3585,55.7679,24.77,87,50,2.21,RE,1647652912
152,Mīrābād,30.4362,61.8383,8.75,49,0,7.82,AF,1647652912
153,Marystown,47.1666,-55.1483,2.7,100,100,3.73,CA,1647652914
154,Flin Flon,54.7682,-101.865,1.0,94,100,2.37,CA,1647652915
155,Kajaani,64.2273,27.7285,-0.97,93,0,2.06,FI,1647652915
156,Aberdeen,57.1437,-2.0981,7.27,84,81,5.66,GB,1647652916
157,Salto del Guairá,-24.0625,-54.3069,24.49,91,100,1.05,PY,1647652917
158,Bahua,25.85,80.6333,23.24,28,8,2.54,IN,1647652918
159,Ubatuba,-23.4339,-45.0711,26.04,83,4,1.58,BR,1647652918
160,Srednekolymsk,67.45,153.6833,-18.15,83,13,0.97,RU,1647652919
161,Cabo San Lucas,22.8909,-109.9124,25.28,57,0,2.57,MX,1647652402
162,Avarua,-21.2078,-159.775,29.03,70,43,3.09,CK,1647652921
163,Ponta do Sol,32.6667,-17.1,17.81,70,100,0.99,PT,1647652922
164,Sabha,27.0377,14.4283,22.25,8,13,9.1,LY,1647652923
165,Poum,-20.2333,164.0167,27.52,77,100,4.15,NC,1647652924
166,São Filipe,14.8961,-24.4956,21.32,73,44,4.68,CV,1647652925
167,El Alto,-4.2714,-81.2147,23.27,76,14,7.73,PE,1647652926
